name,slug,brand,sku,price,comparePrice,discountedPrice,currency,inStock,inventoryStatus,quantity,availableForPreOrder,ribbon,productType,weight,url
Weiss Schwarz Marvel Vol 3 Booster Box - Japanese,09-23-weiss-schwarz-marvel-vol-3-booster-box-japanese-pre-order,Weiss Schwarz,MARVEL3-BOX,47.99,0,47.99,USD,true,in_stock,30,false,,physical,0.85,https://www.pokene.com/product-page/09-23-weiss-schwarz-marvel-vol-3-booster-box-japanese-pre-order
Chinese Pokemon Sharp Blade Awakened Booster Box (CSV7C),chinese-pokemon-sharp-blade-awakened-booster-box-csv7c,Pokemon,,31.9,0,31.9,USD,true,in_stock,35,false,,physical,0.05,https://www.pokene.com/product-page/chinese-pokemon-sharp-blade-awakened-booster-box-csv7c
Hololive OCG Curious Universe Booster Box Display BP04,hololive-ocg-bp04-curious-universe-booster-display-1,Hololive,HOLO-CURIOUSUNIVERSE-BOOSTERBOX,59.9,0,59.9,USD,true,in_stock,14,false,,physical,1,https://www.pokene.com/product-page/hololive-ocg-bp04-curious-universe-booster-display-1
Korean Pokemon Inferno X Booster Box,korean-pokemon-inferno-x-booster-box,Pokemon,PKMN-KR-INFERNO-BOX,90,76.9,76.9,USD,true,in_stock,47,false,,physical,2,https://www.pokene.com/product-page/korean-pokemon-inferno-x-booster-box
Pokemon Rebel Clash Zacian Theme Deck,pokemon-sword-shield-rebel-clash-zacian-theme-deck,Pokemon,S&S-ZACIAN-REBELCLASH-DECK,35,0,35,USD,true,in_stock,1,false,,physical,1,https://www.pokene.com/product-page/pokemon-sword-shield-rebel-clash-zacian-theme-deck
Pokemon Espeon V Tin (International Version),pokémon-tcg-v-heroes-tin-espeon,Pokemon,PKMN-ESPEON-SMALLTIN ,80,0,80,USD,true,in_stock,1,false,,physical,1,https://www.pokene.com/product-page/pokémon-tcg-v-heroes-tin-espeon
Weiss Schwarz Hatsune Miku Colorful Stage Wonderlands Showtime Trial Deck,weiss-schwarz-hatsune-miku-colorful-stage-wonderlands-showtime-trial-deck,Weiss Schwarz,WONDERLANDS-DECK,18,16.99,16.99,USD,true,in_stock,24,false,,physical,1,https://www.pokene.com/product-page/weiss-schwarz-hatsune-miku-colorful-stage-wonderlands-showtime-trial-deck
Pokemon Perfect Order 3-Pack Blister,pokemon-tcg-mega-evolutions-me3-perfect-order-3-pack-blister,Pokemon,PKMN-3PACKBLISTER-PERFECTORDER,21.99,19.79,19.79,USD,true,in_stock,29,false,,physical,1,https://www.pokene.com/product-page/pokemon-tcg-mega-evolutions-me3-perfect-order-3-pack-blister
Pokemon Temporal Forces 3-Pack Blister - Cyclizar,pokemon-temporal-forces-3-pack-blister-cyclizar,Pokemon,,30,27,27,USD,true,in_stock,26,false,,physical,1.7,https://www.pokene.com/product-page/pokemon-temporal-forces-3-pack-blister-cyclizar
Chinese Pokemon Terastal Grand Gathering CSV9.5C Booster Box,06-22-chinese-pokemon-terastal-grand-gathering-csv9-5c-booster-box,Pokemon,,124.95,100,100,USD,true,in_stock,60,false,,physical,0.05,https://www.pokene.com/product-page/06-22-chinese-pokemon-terastal-grand-gathering-csv9-5c-booster-box
Chinese Pokemon Chasing Glory Together Booster Box,chinese-pokemon-chasing-glory-together-booster-box-csv10c,Pokemon,,36.9,0,36.9,USD,true,in_stock,12,false,,physical,0.05,https://www.pokene.com/product-page/chinese-pokemon-chasing-glory-together-booster-box-csv10c
Pokemon Center Elite Trainer Box - Shrouded Fable,pokemon-shrouded-fable-pokemon-center-elite-trainer-box-exclusive,Pokemon,,185,174.98,174.98,USD,true,in_stock,4,false,,physical,2,https://www.pokene.com/product-page/pokemon-shrouded-fable-pokemon-center-elite-trainer-box-exclusive
Japanese One Piece EB-04 Egghead Crisis Booster Box,one-piece-eb-04-egghead-crisis-booster-box,One Piece,EB04-BOX ,105,0,105,USD,false,in_stock,0,false,,physical,1,https://www.pokene.com/product-page/one-piece-eb-04-egghead-crisis-booster-box
Pokemon Mega Gallade EX Box - Nihil Zero Packs,01-30-pokemon-mega-gallade-ex-box-nihil-zero-packs,Pokemon,PKMN-EX-GALLADE,42,39,39,USD,true,in_stock,43,false,,physical,2,https://www.pokene.com/product-page/01-30-pokemon-mega-gallade-ex-box-nihil-zero-packs
Pokemon League Battle Deck - Ice Rider Calyrex,pokemon-league-battle-deck-ice-rider-calyrex-vmax,Pokemon,PKMN-LEAGUEBATTLEDECK-ICERIDER ,26.99,24.29,24.29,USD,true,in_stock,3,false,,physical,1,https://www.pokene.com/product-page/pokemon-league-battle-deck-ice-rider-calyrex-vmax
Pokemon Temporal Forces 3-Pack Blister - Cleffa,pokemon-temporal-forces-3-pack-blister-cleffa-or-cyclizar,Pokemon,,30,27,27,USD,true,in_stock,25,false,,physical,1.7,https://www.pokene.com/product-page/pokemon-temporal-forces-3-pack-blister-cleffa-or-cyclizar
Japanese Pokemon Storm Emeralda,08-07-japanese-pokemon-storm-emeralda-pre-order,Pokemon,,220,165,165,USD,false,in_stock,0,false,,physical,2,https://www.pokene.com/product-page/08-07-japanese-pokemon-storm-emeralda-pre-order
Pokemon Pitch Black 3-Pack Blister,pitch-black-three-pack-blister,Pokemon,,28.9,0,28.9,USD,true,in_stock,81,false,,physical,2,https://www.pokene.com/product-page/pitch-black-three-pack-blister
Pokemon Lost Thunder Booster Box,pokemon-lost-thunder-booster-box,,,1600,0,1600,USD,true,in_stock,1,false,,physical,0,https://www.pokene.com/product-page/pokemon-lost-thunder-booster-box
Pokemon Battle Styles Booster Box,pokemon-battle-styles-booster-box,,,289.9,0,289.9,USD,true,in_stock,6,false,,physical,0,https://www.pokene.com/product-page/pokemon-battle-styles-booster-box
Weiss Schwarz Blau Sanrio Characters Box Hello Kitty,weiss-schwarz-blau-sanrio-characters-box-hello-kitty,,,50,0,50,USD,true,in_stock,6,false,,physical,1,https://www.pokene.com/product-page/weiss-schwarz-blau-sanrio-characters-box-hello-kitty
Pokemon Crown Zenith Pin Collection - Inteleon,pokemon-crown-zenith-pin-collection-inteleon,Pokemon,,99.9,89.91,89.91,USD,true,in_stock,1,false,,physical,1,https://www.pokene.com/product-page/pokemon-crown-zenith-pin-collection-inteleon
Pokemon Ultra Prism Booster Box,pokemon-ultra-prism-booster-box,,,1900,0,1900,USD,true,in_stock,1,false,,physical,0,https://www.pokene.com/product-page/pokemon-ultra-prism-booster-box
Spanish Pokemon Ascenso Heroico Tech Sticker Pack (Ascended Heroes),spanish-pokemon-ascenso-heroico-tech-sticker-pack-ascended-heroes-1,Pokemon,,26,24.9,24.9,USD,true,in_stock,70,false,,physical,1.7,https://www.pokene.com/product-page/spanish-pokemon-ascenso-heroico-tech-sticker-pack-ascended-heroes-1
Pokemon Iono's Wattrel Promo 232/SV-P Japanese SV09,pokemon-iono-s-wattrel-promo-232-sv-p-japanese-sv09-battle-partners,Pokemon,IONO-PROMO,30,17,17,USD,true,in_stock,56,false,,physical,0.4,https://www.pokene.com/product-page/pokemon-iono-s-wattrel-promo-232-sv-p-japanese-sv09-battle-partners
Ultra Pro Premium Snap Binder 4-Pocket Pokemon Red,ultra-pro-premium-snap-binder-4-pocket-pokemon-red,Ultra Pro,REDBINDER,29.99,19.99,19.99,USD,true,in_stock,24,false,,physical,2,https://www.pokene.com/product-page/ultra-pro-premium-snap-binder-4-pocket-pokemon-red
Pokémon Holiday & Home Snow Globe Eevee & Pikachu,pokémon-holiday-home-snow-globe-eevee-pikachu,,SNOW-GLOBE,75,0,75,USD,true,in_stock,1,false,,physical,6,https://www.pokene.com/product-page/pokémon-holiday-home-snow-globe-eevee-pikachu
Digimon Starter Deck Giga Green,digimon-starter-deck-giga-green,,DIGI-DECK-GREEN,14.99,9.99,9.99,USD,true,in_stock,10,false,,physical,0,https://www.pokene.com/product-page/digimon-starter-deck-giga-green
Pokemon Kingambit Illustration Collection,pokemon-kingambit-illustration-collection,Pokemon,PKMN-KINGAMBIT-ILLUSTRATIONCOLLECTION,55,0,55,USD,true,in_stock,6,false,,physical,1,https://www.pokene.com/product-page/pokemon-kingambit-illustration-collection
Pokemon Plasma Blast Booster Box ,pokemon-plasma-blast-booster-box,,,20000,17500,17500,USD,true,in_stock,1,false,,physical,0,https://www.pokene.com/product-page/pokemon-plasma-blast-booster-box
Japanese Pokemon Abyss Eye Booster Box,japanese-pokemon-abyss-eye-booster-box-pre-order-05-26,Pokemon,,89.9,84.9,84.9,USD,true,in_stock,21,false,,physical,2,https://www.pokene.com/product-page/japanese-pokemon-abyss-eye-booster-box-pre-order-05-26
Pokemon Pitch Black Booster Box,pitch-black-box,Pokemon,PITCH-BLACK-BOX,244.9,195.92,195.92,USD,true,in_stock,48,false,,physical,2,https://www.pokene.com/product-page/pitch-black-box
Weiss Schwarz Hatsune Miku Colorful Stage Vivid Bad Squad Trial Dec,weiss-schwarz-hatsune-miku-colorful-stage-vivid-bad-squad-trial-dec,Weiss Schwarz,BAD-SQUAD-DECK,18,16.99,16.99,USD,true,in_stock,30,false,,physical,1,https://www.pokene.com/product-page/weiss-schwarz-hatsune-miku-colorful-stage-vivid-bad-squad-trial-dec
Dragon Ball Super - Fusion World Starter Deck -  FS04 Frieza,dragon-ball-super-fusion-world-starter-deck-fs04-frieza,,,16.44,11.94,11.94,USD,true,in_stock,5,false,,physical,1.1,https://www.pokene.com/product-page/dragon-ball-super-fusion-world-starter-deck-fs04-frieza
Pokemon Celebrations Collector Chest,pokemon-celebrations-collector-chest,Pokemon,,225,202.5,202.5,USD,true,in_stock,1,false,,physical,1,https://www.pokene.com/product-page/pokemon-celebrations-collector-chest
Pokemon Journey Together Booster Pack,pokemon-journey-together-booster-pack,Pokemon,PKMN-JOURNEYTOGETHER ,6.9,0,6.9,USD,true,in_stock,282,false,,physical,0.05,https://www.pokene.com/product-page/pokemon-journey-together-booster-pack
Pokemon 151 Poster Collection,pokemon-151-poster-collection,Pokemon,151-POSTER,89.9,0,89.9,USD,true,in_stock,11,false,,physical,1.1,https://www.pokene.com/product-page/pokemon-151-poster-collection
Pokemon Eeveelution Vmax Premium Collection Set - Vaporeon Flareon Jolteon,pokemon-eeveelution-vmax-premium-collection-set-vaporeon-flareon-jolteon,Pokemon,,1025,0,1025,USD,false,in_stock,0,false,,physical,1,https://www.pokene.com/product-page/pokemon-eeveelution-vmax-premium-collection-set-vaporeon-flareon-jolteon
Pokemon Paldean Fates Tech Sticker - Greavard,pokemon-paldean-fates-tech-sticker-greavard,,,67.9,0,67.9,USD,false,in_stock,0,false,,physical,0.04,https://www.pokene.com/product-page/pokemon-paldean-fates-tech-sticker-greavard
Pokemon Silver Tempest Elite Trainer Box,silver-tempest-elite-trainer-box-swsh12-silver-tempest-swsh12,Pokemon,PKMN=SILVERTEMPEST-ETB,185,160.95,160.95,USD,true,in_stock,7,false,,physical,2,https://www.pokene.com/product-page/silver-tempest-elite-trainer-box-swsh12-silver-tempest-swsh12
Chinese Pokemon Terastal Gathering Eeveelution Pin Badge Set,chinese-pokemon-terastal-gathering-eeveelution-pin-badge-set,Pokemon,,14.99,0,14.99,USD,true,in_stock,199,false,,physical,0.05,https://www.pokene.com/product-page/chinese-pokemon-terastal-gathering-eeveelution-pin-badge-set
Pokemon 151 Alakazam Collection,pokemon-151-alakazam-collection,,,120,0,120,USD,true,in_stock,14,false,,physical,1.1,https://www.pokene.com/product-page/pokemon-151-alakazam-collection
Ace Trainer Slab Pack - ELITE (from Card & All Gaming),ace-trainer-slab-pack-elite-from-card-all-gaming,Pokemon,ACE-ELITE-BOX,199.99,0,199.99,USD,true,in_stock,21,false,,physical,2,https://www.pokene.com/product-page/ace-trainer-slab-pack-elite-from-card-all-gaming
PokeNE Mystery Gift Box - Over $150 in Value,151-mystery-box-the-ultimate-gift,Pokemon,,100,0,100,USD,true,in_stock,99,false,,physical,5,https://www.pokene.com/product-page/151-mystery-box-the-ultimate-gift
Korean Pokemon Ninja Spinner Booster Box,korean-pokemon-ninja-spinner-booster-box,Pokemon,,54,0,54,USD,true,in_stock,50,false,,physical,2,https://www.pokene.com/product-page/korean-pokemon-ninja-spinner-booster-box
x10 Dragon Shield Matte Non-Glare Forest Green (100ct) Sleeves,x10-dragon-shield-sleeves-standard-matte-white-100ct,Ultra Pro,,80,0,80,USD,true,in_stock,4,false,,physical,0.5,https://www.pokene.com/product-page/x10-dragon-shield-sleeves-standard-matte-white-100ct
X10 Black Classic 100 Dragon Shield Sleeves Standard Size,x10-black-classic-100-dragon-shield-sleeves-standard-size,Ultra Pro,,80,0,80,USD,true,in_stock,7,false,,physical,0.5,https://www.pokene.com/product-page/x10-black-classic-100-dragon-shield-sleeves-standard-size
Save the Barboaches Tee - All Profits to WWF,save-the-barboaches-tee-100-proceeds-to-wwf,,,25,0,25,USD,true,in_stock,0,false,,physical,0,https://www.pokene.com/product-page/save-the-barboaches-tee-100-proceeds-to-wwf
Pokemon Sun & Moon-Team Up Relentless Flame Theme Deck,pokemon-sun-moon-team-up-relentless-flame-theme-deck,Pokemon,PKMN-TEAMUP-CHRIZARDDECK ,110,0,110,USD,true,in_stock,2,false,,physical,0.08,https://www.pokene.com/product-page/pokemon-sun-moon-team-up-relentless-flame-theme-deck
Pokemon Surging Sparks Booster Pack,pokemon-surging-sparks-booster-pack,Pokemon,SURGING-PACK,7.99,0,7.99,USD,true,in_stock,276,false,,physical,0.01,https://www.pokene.com/product-page/pokemon-surging-sparks-booster-pack
Japanese Pokemon Battle Partners Booster Box,pokemon-battle-partners-booster-box,Pokemon,BATTLEPARTNERBOX,110,0,110,USD,false,in_stock,0,false,,physical,1,https://www.pokene.com/product-page/pokemon-battle-partners-booster-box
Spanish Pokemon Ascenso Heroico (Ascended Heroes) Elite Trainer Box,spanish-pokemon-ascenso-heroico-ascended-heroes-elite-trainer-box,Pokemon,,95,0,95,USD,true,in_stock,87,false,,physical,1.7,https://www.pokene.com/product-page/spanish-pokemon-ascenso-heroico-ascended-heroes-elite-trainer-box
Japanese Pokemon Mega Dream Booster Box,12-03-pokemon-mega-dream-booster-box-japanese-pre-order,Pokemon,PKMN-BOX-DREAM,160,127.5,127.5,USD,true,in_stock,17,false,,physical,1,https://www.pokene.com/product-page/12-03-pokemon-mega-dream-booster-box-japanese-pre-order
Japanese Pokemon Mega Symphonia Booster Box,pre-order-pokemon-mega-symphonia-booster-box-japanese,Pokemon,MEGASYMP-BOX,112,100,100,USD,true,in_stock,10,false,,physical,0.8,https://www.pokene.com/product-page/pre-order-pokemon-mega-symphonia-booster-box-japanese
Spanish Pokemon Ascenso Heroico Poster Collection (Ascended Heroes) gardevoir,spanish-pokemon-ascenso-heroico-poster-collection-ascended-heroes,Pokemon,,79.8,77.9,77.9,USD,true,in_stock,17,false,,physical,1.7,https://www.pokene.com/product-page/spanish-pokemon-ascenso-heroico-poster-collection-ascended-heroes
Save the Barboaches 2-Sided Tee - All Profits to WWF,unisex-garment-dyed-heavyweight-t-shirt,,,30,0,30,USD,true,in_stock,0,false,,physical,0,https://www.pokene.com/product-page/unisex-garment-dyed-heavyweight-t-shirt
Spanish Pokemon Ascenso Heroico Poster Collection (Ascended Heroes) Lucario,spanish-pokemon-ascenso-heroico-poster-collection-ascended-heroes-1,Pokemon,,79.8,77.9,77.9,USD,true,in_stock,13,false,,physical,1.7,https://www.pokene.com/product-page/spanish-pokemon-ascenso-heroico-poster-collection-ascended-heroes-1
Weiss Schwarz Toy Story 30 Years and Beyond Booster Box,weiss-schwarz-toy-story-30-years-and-beyond-booster-box,Weiss Schwarz,TOYSTORY-BOX,47.99,41.99,41.99,USD,true,in_stock,9,false,,physical,0.85,https://www.pokene.com/product-page/weiss-schwarz-toy-story-30-years-and-beyond-booster-box
"Dark Magician 12"" Statue - Blue - First 4 Figures - Yu-Gi-Oh",dark-magician-12-statue-blue-first-4-figures-yu-gi-oh,YuGiOh,DARK-MAGIC-STATUE,139.99,94.99,94.99,USD,true,in_stock,7,false,,physical,6,https://www.pokene.com/product-page/dark-magician-12-statue-blue-first-4-figures-yu-gi-oh
Pokemon Center Elite Trainer Box (Exclusive) - Paradox Rift [Iron Valiant],paradox-rift-pokemon-center-elite-trainer-box-exclusive-iron-valiant,Pokemon,,225,0,225,USD,true,in_stock,2,false,,physical,2,https://www.pokene.com/product-page/paradox-rift-pokemon-center-elite-trainer-box-exclusive-iron-valiant
Japanese Pokemon Detective Pikachu Returns Game (Playable in English!),japanese-pokemon-detective-pikachu-returns-game-playable-in-english,,,17.99,0,17.99,USD,true,in_stock,64,false,,physical,0.2,https://www.pokene.com/product-page/japanese-pokemon-detective-pikachu-returns-game-playable-in-english
Pokemon: Sword & Shield-Rebel Clash Zamazenta Theme Deck,pokemon-sword-shield-rebel-clash-zamazenta-theme-deck,Pokemon,S&S-ZAMAZENTA-REBELCLASH-DECK,30,24,24,USD,true,in_stock,1,false,,physical,1,https://www.pokene.com/product-page/pokemon-sword-shield-rebel-clash-zamazenta-theme-deck
Spanish Pokemon Twilight Masquerade (Mascarada Crepuscular) Sleeved Pack,spanish-pokemon-twilight-masquerade-mascarada-crepuscular-sleeved-pack,Pokemon,SPAN-TWMAS,5.99,4.09,4.09,USD,true,in_stock,342,false,,physical,1.7,https://www.pokene.com/product-page/spanish-pokemon-twilight-masquerade-mascarada-crepuscular-sleeved-pack
Japanese Pokemon Cyber Judge Booster Box,pokemon-cyber-judge-booster-box-sv5m,Pokemon,CYBER-BOX,120,0,120,USD,true,in_stock,1,false,,physical,0.89,https://www.pokene.com/product-page/pokemon-cyber-judge-booster-box-sv5m
Pokemon Crown Zenith Pin Collection - Cinderace,pokemon-crown-zenith-pin-collection-cinderace,Pokemon,,99.9,89.91,89.91,USD,true,in_stock,1,false,,physical,1,https://www.pokene.com/product-page/pokemon-crown-zenith-pin-collection-cinderace
Japanese Pokemon 151 Booster Box,pokemon-151-booster-box-japanese-sv2a,Pokemon,,390,0,390,USD,true,in_stock,8,false,,physical,2,https://www.pokene.com/product-page/pokemon-151-booster-box-japanese-sv2a
Japanese Pokemon Paradise Dragona Booster Box,pokemon-paradise-dragona-booster-box-sv7a,Pokemon,PARADISE-BOX,130,0,130,USD,true,in_stock,12,false,,physical,0.89,https://www.pokene.com/product-page/pokemon-paradise-dragona-booster-box-sv7a
Japanese Pokemon Shiny Treasure EX Booster Box,pokemon-shiny-treasure-ex-booster-box-sv4a,Pokemon,SHINY-TREASURE-BOX,185,0,185,USD,true,in_stock,14,false,,physical,0.89,https://www.pokene.com/product-page/pokemon-shiny-treasure-ex-booster-box-sv4a
Mega Evolution Pokemon Center Elite Trainer Box - Lucario,mega-evolution-pokemon-center-elite-trainer-box-lucario,Pokemon,,325,289.25,289.25,USD,true,in_stock,2,false,,physical,2,https://www.pokene.com/product-page/mega-evolution-pokemon-center-elite-trainer-box-lucario
Spanish Pokemon Ascenso Heroico Tech Sticker Pack (Ascended Heroes),spanish-pokemon-ascenso-heroico-tech-sticker-pack-ascended-heroes,Pokemon,,26,24.9,24.9,USD,true,in_stock,67,false,,physical,1.7,https://www.pokene.com/product-page/spanish-pokemon-ascenso-heroico-tech-sticker-pack-ascended-heroes
"Sealed Case of x100 100ct PENNY SLEEVES 2.5"" x 3.5"" (Total of 10,000 Sleeves)",sealed-case-of-x100-100ct-penny-sleeves-2-5-x-3-5-total-of-10-000-sleeves,Ultra Pro,,75,0,75,USD,true,in_stock,98,false,,physical,13,https://www.pokene.com/product-page/sealed-case-of-x100-100ct-penny-sleeves-2-5-x-3-5-total-of-10-000-sleeves
Pokemon Paldea Evolved Booster Box,pokemon-paldea-evolved-booster-box,Pokemon,,520,485,485,USD,true,in_stock,4,false,,physical,0,https://www.pokene.com/product-page/pokemon-paldea-evolved-booster-box
Weiss Schwarz Marvel Premium Box Japanese,weiss-schwarz-marvel-premium-box-jp,,MARVEL-PREMIUM-BOX,39.87,15.87,15.87,USD,true,in_stock,9,false,,physical,1,https://www.pokene.com/product-page/weiss-schwarz-marvel-premium-box-jp
Chinese Pokemon Gem Vol 2 Booster Box,pokemon-gem-pack-vol-2-simplified-chinese-box-pre-order,Pokemon,GEM2BOX,80,0,80,USD,true,in_stock,36,false,,physical,1,https://www.pokene.com/product-page/pokemon-gem-pack-vol-2-simplified-chinese-box-pre-order
Pokemon Destined Rivals Booster Bundle,05-29-pokemon-destined-rivals-booster-bundle-pre-order,,DESTINED-BOOST-BUNDLE,79.9,72.4,72.4,USD,true,in_stock,75,false,,physical,1.7,https://www.pokene.com/product-page/05-29-pokemon-destined-rivals-booster-bundle-pre-order
Pokemon GO V Battle Deck Bundle [Mewtwo V/Melmetal V],pokemon-go-v-battle-deck-bundle-mewtwo-v-melmetal-v,,,65,55,55,USD,true,in_stock,5,false,,physical,0,https://www.pokene.com/product-page/pokemon-go-v-battle-deck-bundle-mewtwo-v-melmetal-v
Pokemon Chaos Rising Build and Battle Box,pokemon-chaos-rising-build-and-battle-box,Pokemon,,54.9,40.9,40.9,USD,true,in_stock,46,false,,physical,1,https://www.pokene.com/product-page/pokemon-chaos-rising-build-and-battle-box
Japanese Pokemon Ruler of the Black Flame Booster Box,pokemon-ruler-of-the-black-flame-booster-box-sv3,Pokemon,,160,155,155,USD,true,in_stock,9,false,,physical,0,https://www.pokene.com/product-page/pokemon-ruler-of-the-black-flame-booster-box-sv3
Korean Pokemon Black Bolt Booster Box,korean-pokemon-black-bolt-booster-box,Pokemon,BLACK-KR,64,0,64,USD,true,in_stock,52,false,,physical,2,https://www.pokene.com/product-page/korean-pokemon-black-bolt-booster-box
X10 Dragon Shield Matte Non-Glare Blue (100ct) Protective Sleeves,x10-dragon-shield-matte-non-glare-blue-100ct-protective-sleeves,Ultra Pro,,80,0,80,USD,true,in_stock,5,false,,physical,0.5,https://www.pokene.com/product-page/x10-dragon-shield-matte-non-glare-blue-100ct-protective-sleeves
Battle Styles Elite Trainer Box [Rapid Strike Urshifu] (Blue),battle-styles-elite-trainer-box-rapid-strike-urshifu-blue,,,150,142.5,142.5,USD,true,in_stock,1,false,,physical,0,https://www.pokene.com/product-page/battle-styles-elite-trainer-box-rapid-strike-urshifu-blue
Pokemon Grand Adventure Collection,pokemon-grand-adventure-collection,Pokemon,PKMN-GRANDADVENTURE-EXBOX ,50,0,50,USD,true,in_stock,13,false,,physical,1,https://www.pokene.com/product-page/pokemon-grand-adventure-collection
Weiss Schwarz: SPY x FAMILY Trial Deck Display,weiss-schwarz-spy-x-family-trial-deck-display,,8885009408543,15.99,14.99,14.99,USD,true,in_stock,30,false,,physical,1,https://www.pokene.com/product-page/weiss-schwarz-spy-x-family-trial-deck-display
Chinese Pokemon Black Crystal Blaze Booster Box (CSV5C),chinese-pokemon-black-crystal-blaze-booster-box-csv5c,Pokemon,,36.9,0,36.9,USD,true,in_stock,3,false,,physical,0.05,https://www.pokene.com/product-page/chinese-pokemon-black-crystal-blaze-booster-box-csv5c
Pokemon 2024 World Championship Deck Display - Honolulu Hawii,pokemon-2024-world-championship-deck-display-honolulu-hawii,Pokemon,CHAMPION-DISPLAY,205,125,125,USD,true,in_stock,25,false,,physical,8,https://www.pokene.com/product-page/pokemon-2024-world-championship-deck-display-honolulu-hawii
Simplified Chinese Pokemon 30th Anniversary First Partner Set ,04-03-simplified-chinese-pokemon-30th-anniversary-first-partner-set,Pokemon,PKMN-CHI-30TH,24,16.92,16.92,USD,true,in_stock,58,false,,physical,0.05,https://www.pokene.com/product-page/04-03-simplified-chinese-pokemon-30th-anniversary-first-partner-set
Pokemon Stellar Crown Booster Box - SV7,pokemon-stellar-crown-booster-box-sv7,Pokemon,,375,318.75,318.75,USD,true,in_stock,6,false,,physical,2,https://www.pokene.com/product-page/pokemon-stellar-crown-booster-box-sv7
Kotobukiya ARTFX J: Pokemon - Juliana with Sprigatito Statue,kotobukiya-artfx-j-pokemon-juliana-with-sprigatito-statue,,190526059757,119.99,0,119.99,USD,true,in_stock,2,false,,physical,1,https://www.pokene.com/product-page/kotobukiya-artfx-j-pokemon-juliana-with-sprigatito-statue
X10 Dragon Shield Sleeves: Standard Classic - Blue 100CT,x10-dragon-shield-sleeves-standard-classic-blue-100ct,Ultra Pro,,80,0,80,USD,true,in_stock,3,false,,physical,0.5,https://www.pokene.com/product-page/x10-dragon-shield-sleeves-standard-classic-blue-100ct
Dragon Ball Super - Fusion World Starter Deck - FS01 Son Goku,dragon-ball-super-fusion-world-starter-deck-fs01-son-goku,,SON-GOKU-START-DECK,16.44,11.94,11.94,USD,true,in_stock,5,false,,physical,1.1,https://www.pokene.com/product-page/dragon-ball-super-fusion-world-starter-deck-fs01-son-goku
(Damaged) Weiss Schwarz: Saekano How to Raise a Boring Girlfriend Trial Deck+#1,damaged-weiss-schwarz-saekano-how-to-raise-a-boring-girlfriend-trial-deck-1,Weiss Schwarz,DAMAGED#1-RAISEBORING-GFDECK,8,0,8,USD,true,in_stock,1,false,,physical,1,https://www.pokene.com/product-page/damaged-weiss-schwarz-saekano-how-to-raise-a-boring-girlfriend-trial-deck-1
Pokemon 2025 World Championships Deck Display - Anaheim,pokemon-2025-world-championships-deck-display-anaheim,Pokemon,,199.9,0,199.9,USD,true,in_stock,6,false,,physical,8,https://www.pokene.com/product-page/pokemon-2025-world-championships-deck-display-anaheim
Chinese Pokemon Gem Pack Vol. 5 Booster Box,05-05-pokemon-gem-pack-vol-5-booster-box-chinese,Pokemon,,55,0,55,USD,true,in_stock,66,false,,physical,0.05,https://www.pokene.com/product-page/05-05-pokemon-gem-pack-vol-5-booster-box-chinese
X10 - Ivory Matte 100 Dragon Shield Sleeves Standard Size,x10-ivory-matte-100-dragon-shield-sleeves-standard-size,Ultra Pro,,80,0,80,USD,true,in_stock,5,false,,physical,0.5,https://www.pokene.com/product-page/x10-ivory-matte-100-dragon-shield-sleeves-standard-size
Pokemon Pitch Black Sleeved Booster Pack,pitch-black-sleeve,Pokemon,PITCH-BLACK-SLEEVE,8.99,6.6,6.6,USD,true,in_stock,248,false,,physical,2,https://www.pokene.com/product-page/pitch-black-sleeve
Japanese Pokemon Heat Wave Arena Booster Box,wave-2-pokemon-heat-wave-arena-booster-box-pre-order,Pokemon,HEATWAVE-ARENA,190,0,190,USD,true,in_stock,11,false,,physical,0.89,https://www.pokene.com/product-page/wave-2-pokemon-heat-wave-arena-booster-box-pre-order
Pokemon Scarlet & Violet 3 Pack Blister - Arcanine,pokemon-scarlet-violet-3-pack-blister-arcanine,Pokemon,PKMN-3PACKBLISTER-ARCANINE,29.9,0,29.9,USD,true,in_stock,8,false,,physical,1,https://www.pokene.com/product-page/pokemon-scarlet-violet-3-pack-blister-arcanine
Pokemon Paldean Fates Elite Trainer Box ETB,pokemon-paldean-fates-elite-trainer-box-etb,Pokemon,PALDEAN-FATES-ETB,525,472.5,472.5,USD,true,in_stock,3,false,,physical,1.7,https://www.pokene.com/product-page/pokemon-paldean-fates-elite-trainer-box-etb
Pokemon Team Rocket’s Mewtwo ex League Battle Deck,pokemon-team-rocket-s-mewtwo-ex-league-battle-deck,Pokemon,PKMN-MEWTWO-LEAGUEBATTLEDECK ,22,17.9,17.9,USD,true,in_stock,110,false,,physical,1,https://www.pokene.com/product-page/pokemon-team-rocket-s-mewtwo-ex-league-battle-deck
Pokemon Center Elite Trainer Box (Exclusive) - Black Bolt,black-bolt-pokemon-center-elite-trainer-box-exclusive,Pokemon,,320,294.4,294.4,USD,true,in_stock,2,false,,physical,0,https://www.pokene.com/product-page/black-bolt-pokemon-center-elite-trainer-box-exclusive
Korean Pokemon Glory of Team Rocket Booster Box,pokemon-korean-glory-of-team-rocket-booster-box-30-booster-pac,Pokemon,PKMN-TEAMROCKET-KOREAN,79.9,0,79.9,USD,true,in_stock,36,false,,physical,1,https://www.pokene.com/product-page/pokemon-korean-glory-of-team-rocket-booster-box-30-booster-pac
