name,slug,brand,sku,price,comparePrice,discountedPrice,currency,inStock,inventoryStatus,quantity,availableForPreOrder,ribbon,productType,weight,url
Alpha Clash TCG: Unrivaled Booster Box,alpha-clash-tcg-unrivaled-booster-box,,10850049496145,89.99,44.99,44.99,USD,true,in_stock,8,false,,physical,1,https://www.pokene.com/product-page/alpha-clash-tcg-unrivaled-booster-box
Chinese Pokemon 2026 Dragon Boat Festival Gift Box,chinese-pokemon-2026-dragon-boat-festival-gift-box,Pokemon,,49.9,0,49.9,USD,true,in_stock,15,false,,physical,2.5,https://www.pokene.com/product-page/chinese-pokemon-2026-dragon-boat-festival-gift-box
Pokemon Phantasmal Flames Booster Box ,11-14-pokemon-phantasmal-flames-booster-box,Pokemon,PKMN-BOX-ME2,466,433.38,433.38,USD,true,in_stock,4,false,,physical,2,https://www.pokene.com/product-page/11-14-pokemon-phantasmal-flames-booster-box
Pokemon Evolving Skies Booster Box - Sealed Case,sealed-case-pokemon-evolving-skies-booster-box,Pokemon,,17325,0,17325,USD,true,in_stock,1,false,,physical,2,https://www.pokene.com/product-page/sealed-case-pokemon-evolving-skies-booster-box
Spanish Pokemon Ascended Heroes EX Box - Mega Meganium,spanish-pokemon-ascended-heroes-ex-box-mega-meganium,Pokemon,,44.9,0,44.9,USD,true,in_stock,18,false,,physical,1.7,https://www.pokene.com/product-page/spanish-pokemon-ascended-heroes-ex-box-mega-meganium
Weiss Schwarz Hatsune Miku Colorful Stage Leo/Need Trial Deck,weiss-schwarz-hatsune-miku-colorful-stage-leo-need-trial-deck,Weiss Schwarz,LEO-TRIAL-DECK,18,16.99,16.99,USD,true,in_stock,30,false,,physical,1,https://www.pokene.com/product-page/weiss-schwarz-hatsune-miku-colorful-stage-leo-need-trial-deck
Pokemon Paldean Fates Mini Tin - Finizen,pokemon-paldean-fates-mini-tin-finizen,Pokemon,,54,0,54,USD,true,in_stock,1,false,,physical,1,https://www.pokene.com/product-page/pokemon-paldean-fates-mini-tin-finizen
X10 Dragon Shield Sleeves Matte Amethyst (100ct),x10-dragon-shield-sleeves-matte-amethyst-100ct,Ultra Pro,,80,0,80,USD,true,in_stock,5,false,,physical,0.5,https://www.pokene.com/product-page/x10-dragon-shield-sleeves-matte-amethyst-100ct
Pokemon Miracle Journey CSV2C Simplified Chinese Box,pokemon-miracle-journey-csv2c-simplified-chinese-box,Pokemon,MIRACLE-BOX,79.99,49.99,49.99,USD,true,in_stock,25,false,,physical,1,https://www.pokene.com/product-page/pokemon-miracle-journey-csv2c-simplified-chinese-box
Sakura Wars - Pack,sakura-wars-pack,,SAKURA-PACK,6.5,3.99,3.99,USD,true,in_stock,51,false,,physical,0,https://www.pokene.com/product-page/sakura-wars-pack
Signature-Required  Shipping Upgrade,signature-required-shipping-upgrade,,,4,0,4,USD,true,in_stock,0,false,,physical,0,https://www.pokene.com/product-page/signature-required-shipping-upgrade
Dragon Ball Super - Fusion World Starter Deck -  FS03 Broly,dragon-ball-super-fusion-world-starter-deck-fs03-broly,,,16.44,11.94,11.94,USD,true,in_stock,4,false,,physical,1.1,https://www.pokene.com/product-page/dragon-ball-super-fusion-world-starter-deck-fs03-broly
Pokemon Obsidian Flames Booster Box,pokemon-obsidian-flames-sv03-booster-box,Pokemon,PKMN-BOX-OBSID,392,372.4,372.4,USD,true,in_stock,6,false,,physical,2,https://www.pokene.com/product-page/pokemon-obsidian-flames-sv03-booster-box
Pokemon Charizard ex Super Premium Collection,pokemon-charizard-ex-super-premium-collection,Pokemon,PKMN-CHAR-SUPER,170,158,158,USD,false,in_stock,0,false,,physical,5,https://www.pokene.com/product-page/pokemon-charizard-ex-super-premium-collection
